X,AUC,N,P,p.adj,PermPval,Carnivora,Cetacean,Combination,ratio,Category,Source,SelectionSignal,GWASSignal,Type
MTMR4,-0.092033304,112,0.237092912,0.551295639,0.854552778,0.4252,0.2723,0.2833,0.6662,NA,NA,NA,NA,All
MTMR6,-0.012092141,87,0.891380375,0.958912872,0.951767244,1.23,5.821,0.2276,0.03909,NA,NA,NA,NA,All
MTMR7,-0.058111378,97,0.487826727,0.754917127,0.587933444,0.2312,0.2598,0.2316,0.8916,NA,NA,NA,NA,All
MTMR8,0.367609649,64,0.000391158,0.013664085,0.009934013,0.9174,5.643,1013,179.4,NA,NA,NA,NA,All
MTMR9,-0.176397822,77,0.061303338,0.274646286,0.961264871,7.417,0.2368,1.908,0.2573,NA,NA,NA,NA,All
MTNR1A,0.189007466,93,0.027209917,0.178142342,0.026283215,1.262,NA,2.646,NA,NA,NA,NA,NA,All
MTNR1B,0.383855518,87,1.45814156267259e-05,0.001572065,0.031619936,12.71,4.527,1879,147.9,NA,NA,NA,NA,All
MTO1,-0.003994652,110,0.959446752,0.985015347,0.980295672,0.3386,0.2823,0.2022,0.597,NA,NA,NA,NA,All
MTOR,0.144369214,69,0.147727431,0.43565939,0.282305171,0.4892,0.2477,0.6333,1.294,NA,NA,NA,NA,All
MTPAP,0.030385542,120,0.686005613,0.865924193,0.62155318,0.245,35.88,0.5374,0.01498,NA,NA,NA,NA,All
MTPN,NA,NA,NA,NA,NA,0.395,0.5927,0.4875,0.8225,NA,NA,NA,NA,All
MTR,-0.059872997,124,0.417940176,0.707501513,0.875783268,0.361,2.272,0.205,0.09023,NA,NA,NA,NA,All
MTRES1,0.079172826,97,0.344549548,0.648386861,0.594723217,0.295,0.2232,0.3704,1.255,NA,NA,NA,NA,All
MTREX,-0.00867914,77,0.926640904,0.97259004,0.964968032,0.3709,0.2375,0.2395,0.6458,NA,NA,NA,NA,All
MTRF1,0.001712715,108,0.982768318,0.992960047,0.987086642,0.2277,0.4092,0.2133,0.5213,NA,NA,NA,NA,All
MTRF1L,0.083087378,103,0.306411333,0.615794487,0.406149475,0.4948,0.2834,0.3201,0.6469,NA,NA,NA,NA,All
